,PRICE,BED,BATH,SIZE,DISTRICT
814,300000,5,4,93,منفوحة
815,130000,5,2,103,منفوحة
816,2500000,5,5,1020,السعادة
817,650000,5,2,300,النسيم الغربي
818,146000,5,2,111,غبيرة
819,145000,5,3,50,عتيقة
820,1200000,3,4,375,طويق
821,1100000,3,3,200,الندوة
822,3000000,5,4,1100,الخليج
823,600000,3,2,260,الملز
824,490000,5,4,390,العزيزية
825,3000000,5,4,1100,الخليج
826,4930000,5,4,1030,الرمال
827,780000,5,4,455,الدار البيضاء
828,880000,5,4,375,النسيم الغربي
829,1800000,5,5,800,طويق
830,1000000,5,3,350,طويق
831,5000000,4,4,350,الديرة
832,250000,5,5,230,البديعة
833,685000,5,4,360,بدر
834,800000,5,3,312,أحد
835,160000,3,2,84,العيينة
836,125000,5,2,133,اليمامة
837,940000,1,1,375,الفوطة
838,1850000,3,4,450,المروة
839,130000,5,3,151,منفوحة
840,250000,4,2,100,الخالدية
841,350000,5,3,178,منفوحة
842,950000,5,5,390,العريجاء
843,1300000,5,5,450,ظهرة لبن
844,1700000,4,3,1000,الندوة
845,3000000,5,4,1100,الخليج
846,4930000,5,4,1030,الرمال
847,780000,5,4,455,الدار البيضاء
848,880000,5,4,375,النسيم الغربي
849,1800000,5,5,800,طويق
850,1000000,5,3,350,طويق
851,5000000,4,4,350,الديرة
852,250000,5,5,230,البديعة
853,685000,5,4,360,بدر
854,800000,5,3,312,أحد
855,160000,3,2,84,العيينة
856,125000,5,2,133,اليمامة
857,940000,1,1,375,الفوطة
858,1850000,3,4,450,المروة
859,130000,5,3,151,منفوحة
860,250000,4,2,100,الخالدية
861,350000,5,3,178,منفوحة
862,950000,5,5,390,العريجاء
863,1300000,5,5,450,ظهرة لبن
864,1700000,4,3,1000,الندوة
865,80000,4,2,99,منفوحة
866,850000,5,4,400,طويق
867,1900000,5,5,1000,الفيحاء
868,1150000,5,5,390,الاندلس
869,200000,5,3,116,الخالدية
870,450000,5,3,206,منفوحة
871,1500000,5,4,455,السعادة
872,300000,5,5,213,الصالحية
873,1000000,3,4,360,الرمال
874,300000,5,4,93,منفوحة
875,130000,5,2,103,منفوحة
876,2500000,5,5,1020,السعادة
877,650000,5,2,300,النسيم الغربي
878,146000,5,2,111,غبيرة
879,145000,5,3,50,عتيقة
880,1200000,3,4,375,طويق
881,1100000,3,3,200,الندوة
882,3000000,5,4,1100,الخليج
883,600000,3,2,260,الملز
884,490000,5,4,390,العزيزية
885,3000000,5,4,1100,الخليج
886,4930000,5,4,1030,الرمال
887,780000,5,4,455,الدار البيضاء
888,880000,5,4,375,النسيم الغربي
889,1800000,5,5,800,طويق
890,1000000,5,3,350,طويق
891,5000000,4,4,350,الديرة
892,250000,5,5,230,البديعة
893,685000,5,4,360,بدر
894,800000,5,3,312,أحد
895,160000,3,2,84,العيينة
896,125000,5,2,133,اليمامة
897,940000,1,1,375,الفوطة
898,1850000,3,4,450,المروة
899,130000,5,3,151,منفوحة
900,250000,4,2,100,الخالدية
901,350000,5,3,178,منفوحة
902,950000,5,5,390,العريجاء
903,1300000,5,5,450,ظهرة لبن
904,1700000,4,3,1000,الندوة
905,80000,4,2,99,منفوحة
906,850000,5,4,400,طويق
907,1900000,5,5,1000,الفيحاء
908,1150000,5,5,390,الاندلس
909,200000,5,3,116,الخالدية
910,450000,5,3,206,منفوحة
911,1500000,5,4,455,السعادة
912,300000,5,5,213,الصالحية
913,1000000,3,4,360,الرمال
914,300000,5,4,93,منفوحة
915,130000,5,2,103,منفوحة
916,2500000,5,5,1020,السعادة
917,650000,5,2,300,النسيم الغربي
918,146000,5,2,111,غبيرة
919,145000,5,3,50,عتيقة
920,1200000,3,4,375,طويق
921,1100000,3,3,200,الندوة
922,3000000,5,4,1100,الخليج
923,600000,3,2,260,الملز
924,490000,5,4,390,العزيزية
925,3000000,5,4,1100,الخليج
926,4930000,5,4,1030,الرمال
927,780000,5,4,455,الدار البيضاء
928,880000,5,4,375,النسيم الغربي
929,1800000,5,5,800,طويق
930,1000000,5,3,350,طويق
931,5000000,4,4,350,الديرة
932,250000,5,5,230,البديعة
933,685000,5,4,360,بدر
934,800000,5,3,312,أحد
935,160000,3,2,84,العيينة
936,125000,5,2,133,اليمامة
937,940000,1,1,375,الفوطة
938,1850000,3,4,450,المروة
939,130000,5,3,151,منفوحة
940,250000,4,2,100,الخالدية
941,350000,5,3,178,منفوحة
942,950000,5,5,390,العريجاء
943,1300000,5,5,450,ظهرة لبن
944,1700000,4,3,1000,الندوة
945,3000000,5,4,1100,الخليج
946,4930000,5,4,1030,الرمال
947,780000,5,4,455,الدار البيضاء
948,880000,5,4,375,النسيم الغربي
949,1800000,5,5,800,طويق
950,1000000,5,3,350,طويق
951,5000000,4,4,350,الديرة
952,250000,5,5,230,البديعة
953,685000,5,4,360,بدر
954,800000,5,3,312,أحد
955,160000,3,2,84,العيينة
956,125000,5,2,133,اليمامة
957,940000,1,1,375,الفوطة
958,1850000,3,4,450,المروة
959,130000,5,3,151,منفوحة
960,250000,4,2,100,الخالدية
961,350000,5,3,178,منفوحة
962,950000,5,5,390,العريجاء
963,1300000,5,5,450,ظهرة لبن
964,1700000,4,3,1000,الندوة
